"filename", "language", "PHP", "JavaScript", "HTML", "Markdown", "CSS", "XML", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\laragon\www\grado\database\migrations\2021_03_13_202903_create_promotions_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\laragon\www\grado\database\migrations\2021_03_14_040936_create_spaces_table.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\laragon\www\grado\database\migrations\2021_05_03_213701_create_sports_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\laragon\www\grado\database\migrations\2021_05_03_233419_create_teams_table.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 34
"c:\laragon\www\grado\database\migrations\2021_05_12_201513_create_trains_table.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 38
"c:\laragon\www\grado\database\seeds\DatabaseSeeder.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 18
"c:\laragon\www\grado\database\seeds\RolsTableSeeder.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 32
"c:\laragon\www\grado\database\seeds\UsersTableSeeder.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 30
"c:\laragon\www\grado\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\laragon\www\grado\phpunit.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\laragon\www\grado\public\css\vertical-layout-light\style.css", "CSS", 0, 0, 0, 0, 26846, 0, 0, 0, 0, 240, 3354, 30440
"c:\laragon\www\grado\public\fonts\poppins\Poppins-Black.html", "HTML", 0, 0, 387, 0, 0, 0, 0, 0, 0, 0, 3, 390
"c:\laragon\www\grado\public\fonts\poppins\Poppins-Bold.html", "HTML", 0, 0, 373, 0, 0, 0, 0, 0, 0, 0, 2, 375
"c:\laragon\www\grado\public\fonts\poppins\Poppins-Light.html", "HTML", 0, 0, 379, 0, 0, 0, 0, 0, 0, 0, 4, 383
"c:\laragon\www\grado\public\fonts\poppins\Poppins-Medium.html", "HTML", 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 1, 371
"c:\laragon\www\grado\public\fonts\poppins\Poppins-Regular.html", "HTML", 0, 0, 357, 0, 0, 0, 0, 0, 0, 0, 2, 359
